IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA11,CA12,CA20_15,CA23A,CA23C,CA23D,CA23E,CA23F,CA23G,CA24,CA25,CA26,CA7,CA8,CA8B3,OS1,PER1,Q1,Q31,STRADEF,CA23C_DETAIL_1,CA23C_DETAIL_10,CA23C_DETAIL_11,CA23C_DETAIL_12,CA23C_DETAIL_13,CA23C_DETAIL_14,CA23C_DETAIL_15,CA23C_DETAIL_16,CA23C_DETAIL_17,CA23C_DETAIL_18,CA23C_DETAIL_2,CA23C_DETAIL_3,CA23C_DETAIL_4,CA23C_DETAIL_6,CA23C_DETAIL_7,CA23C_DETAIL_8,CA23C_DETAIL_9,CA23G_1,CA23G_2,CA23G_3,CA23G_4,CA23G_5,CA26_8,CONTRAT_15,LIEUNAIS,PHD,PONDEF,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0039733,23,111,ÎLE-DE-FRANCE,11,6,4,2,2,,,,,,2,,,1,2,1,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,45.209912506,11,2830,1,0,0,2
A0039737,23,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,2,1,1,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,60.410475823,11,2700,1,0,0,2
A0039776,23,111,ÎLE-DE-FRANCE,11,5,2,2,2,,,,,,2,,,1,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,01 Non salarié,00,16,30.688846943,11,,1,2,2,2
A0039799,23,111,CHAMPAGNE-ARDENNE,21,6,4,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,31.907312978,11,2650,1,0,0,2
A0039858,22,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,,,,2,2,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,33.179865821,11,2859.3125,1,0,13,2
A0039935,29,111,ÎLE-DE-FRANCE,11,6,4,2,2,,,,,,2,,,3,3,2,2,1,1,3,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",07,14M,29.631985062,11,3142,1,0,0,2
A0039976,25,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,3,3,2,2,1,2,3,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",07,14M,59.792474139,11,3200,1,0,0,2
A0039985,23,111,PROVENCE-ALPES-CÔTE D'AZUR,93,6,6,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,36.402312827,11,3000,1,0,0,2
A0039987,23,111,ÎLE-DE-FRANCE,11,6,5,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,14L,67.877208569,11,2546,1,1,1,2
A0040077,23,111,ÎLE-DE-FRANCE,11,1,1,2,1,8,1,2,,,2,,,,,,1,1,1,2,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"02 CDI, Fonctionnaire",00,13M,52.03158772,11,3233.625,1,0,0,2
